model;features;tree_constraints;cross_constraints;valid;invalid
RE;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3_4], FeatureId[_r_3_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_11], FeatureId[_r_12], FeatureId[_r_13]];7;0;96;8096
iNavBasic;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_7], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_2_9], FeatureId[_r_3], FeatureId[_r_3_10], FeatureId[_r_4], FeatureId[_r_4_11], FeatureId[_r_4_11_12], FeatureId[_r_5], FeatureId[_r_5_13], FeatureId[_r_6], FeatureId[_r_6_14]];13;0;4;32764
Transmission;[FeatureId[_r], FeatureId[_r_18], FeatureId[_r_18_19_20], FeatureId[_r_18_19_21], FeatureId[_r_18_19_22], FeatureId[_r_18_19_23], FeatureId[_r_24], FeatureId[_r_24_25_26], FeatureId[_r_24_25_27], FeatureId[_r_24_25_27_28_29], FeatureId[_r_24_25_27_28_30], FeatureId[_r_31], FeatureId[_r_31_32_33], FeatureId[_r_31_32_34], FeatureId[_r_31_32_35]];9;1;44;32724
ISPW-6;[FeatureId[_r], FeatureId[_r_3], FeatureId[_r_3_13_14], FeatureId[_r_3_13_15], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_6_16_17], FeatureId[_r_6_16_18], FeatureId[_r_7], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_11], FeatureId[_r_12], FeatureId[_r_12_19], FeatureId[_r_12_22], FeatureId[_r_12_24], FeatureId[_r_12_25], FeatureId[_r_18]];13;2;24;262120
Example Mobile Phone;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_5_6], FeatureId[_r_3_5_7], FeatureId[_r_3_5_8], FeatureId[_r_4], FeatureId[_r_4_9_10], FeatureId[_r_4_9_11]];6;2;14;1010
testISA2012;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_5_15_16], FeatureId[_r_5_15_17], FeatureId[_r_5_15_18], FeatureId[_r_6], FeatureId[_r_6_19_20], FeatureId[_r_6_19_21]];6;2;14;1010
Mobile-Phone;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_5_6], FeatureId[_r_3_5_7], FeatureId[_r_3_5_8], FeatureId[_r_4], FeatureId[_r_4_9_10], FeatureId[_r_4_9_11]];6;2;14;1010
Mobile phone (lenita);[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_5_6_7], FeatureId[_r_5_6_8], FeatureId[_r_5_6_9], FeatureId[_r_10], FeatureId[_r_10_11_12], FeatureId[_r_10_11_13]];6;2;14;1010
Mobile Phone GF;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_5_6], FeatureId[_r_3_5_9], FeatureId[_r_3_5_12], FeatureId[_r_4], FeatureId[_r_4_13_14], FeatureId[_r_4_13_15]];6;2;14;1010
Example Product Line Course Using SPLOT;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_14_15], FeatureId[_r_3_14_17], FeatureId[_r_3_14_18], FeatureId[_r_7], FeatureId[_r_7_20_21], FeatureId[_r_7_20_22]];6;2;14;1010
Guad gmocht!;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_5_6], FeatureId[_r_2_5_7], FeatureId[_r_2_5_11], FeatureId[_r_3], FeatureId[_r_3_8_9], FeatureId[_r_3_8_10], FeatureId[_r_4]];6;1;20;1004
ISA11/12_pgr;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_31], FeatureId[_r_2_32], FeatureId[_r_3], FeatureId[_r_3_17_18], FeatureId[_r_3_17_19], FeatureId[_r_4], FeatureId[_r_4_20_21], FeatureId[_r_4_20_22], FeatureId[_r_6], FeatureId[_r_6_13_14], FeatureId[_r_6_13_15], FeatureId[_r_6_13_16], FeatureId[_r_10], FeatureId[_r_10_27_28], FeatureId[_r_10_27_29], FeatureId[_r_10_27_30]];12;5;72;524216
CCCMS;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_3_4_5], FeatureId[_r_3_4_6], FeatureId[_r_3_4_7], FeatureId[_r_3_4_8], FeatureId[_r_9], FeatureId[_r_11], FeatureId[_r_12], FeatureId[_r_12_13]];5;0;240;3856
MobileMedia;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_3], FeatureId[_r_2_4], FeatureId[_r_5], FeatureId[_r_5_6_7], FeatureId[_r_5_6_8], FeatureId[_r_5_6_9], FeatureId[_r_10]];6;1;28;996
ELPS - ISE;[FeatureId[_r], FeatureId[_r_2], FeatureId[_r_2_5_6], FeatureId[_r_2_5_7], FeatureId[_r_2_5_9], FeatureId[_r_10], FeatureId[_r_10_11], FeatureId[_r_10_12], FeatureId[_r_10_13], FeatureId[_r_10_14], FeatureId[_r_10_15], FeatureId[_r_16], FeatureId[_r_16_17_18], FeatureId[_r_16_17_19]];6;0;462;15922
FM1;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_11], FeatureId[_r_12]];13;0;1;8191
UML-IDE-TOOL;[FeatureId[_r], FeatureId[_r_10], FeatureId[_r_10_11], FeatureId[_r_10_11_24_25], FeatureId[_r_10_11_24_26], FeatureId[_r_10_12], FeatureId[_r_10_13], FeatureId[_r_10_14], FeatureId[_r_10_16], FeatureId[_r_10_17], FeatureId[_r_10_18], FeatureId[_r_10_19], FeatureId[_r_20], FeatureId[_r_21]];4;0;1536;14848
Editor de imagem;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_22], FeatureId[_r_1_24], FeatureId[_r_11], FeatureId[_r_11_13], FeatureId[_r_11_14], FeatureId[_r_11_16], FeatureId[_r_11_17_18], FeatureId[_r_11_17_19], FeatureId[_r_11_17_20], FeatureId[_r_25], FeatureId[_r_28_29], FeatureId[_r_28_32], FeatureId[_r_28_33], FeatureId[_r_34], FeatureId[_r_34_36], FeatureId[_r_34_37]];9;1;464;261680
Parking lot Manager;[FeatureId[_r], FeatureId[_r_2], FeatureId[_r_2_3], FeatureId[_r_2_4], FeatureId[_r_2_10], FeatureId[_r_2_10_11_12], FeatureId[_r_2_10_11_13], FeatureId[_r_5], FeatureId[_r_5_6], FeatureId[_r_5_14], FeatureId[_r_9], FeatureId[_r_15], FeatureId[_r_15_16]];9;2;16;8176
Veículo;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_15_16], FeatureId[_r_1_15_17], FeatureId[_r_2], FeatureId[_r_2_3_4], FeatureId[_r_2_3_7], FeatureId[_r_2_3_8], FeatureId[_r_2_3_9], FeatureId[_r_2_3_10], FeatureId[_r_11], FeatureId[_r_13], FeatureId[_r_14]];5;0;80;8112
SMS a Cobrar / Resposta paga;[FeatureId[_r], FeatureId[_r_35_36], FeatureId[_r_35_36_39], FeatureId[_r_35_36_43], FeatureId[_r_44], FeatureId[_r_45], FeatureId[_r_46], FeatureId[_r_47], FeatureId[_r_48], FeatureId[_r_48_49], FeatureId[_r_48_51], FeatureId[_r_52], FeatureId[_r_52_54], FeatureId[_r_52_55], FeatureId[_r_56], FeatureId[_r_56_57], FeatureId[_r_56_58]];13;3;96;130976
Web Game;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3_4], FeatureId[_r_1_3_5], FeatureId[_r_6], FeatureId[_r_6_8], FeatureId[_r_14], FeatureId[_r_14_15], FeatureId[_r_16], FeatureId[_r_16_17], FeatureId[_r_18], FeatureId[_r_18_19_20], FeatureId[_r_18_19_21], FeatureId[_r_22], FeatureId[_r_22_32], FeatureId[_r_22_33]];12;2;84;65452
Simnumero;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_3], FeatureId[_r_1_2_3_4], FeatureId[_r_1_2_3_4_5], FeatureId[_r_1_2_3_4_5_6], FeatureId[_r_1_2_3_4_5_6_7], FeatureId[_r_1_2_3_4_5_6_7_8], FeatureId[_r_10]];9;0;8;1016
Construtora;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_34], FeatureId[_r_2_35], FeatureId[_r_3], FeatureId[_r_3_12], FeatureId[_r_3_27], FeatureId[_r_3_27_29_30], FeatureId[_r_3_27_29_33], FeatureId[_r_3_42], FeatureId[_r_3_42_43_44], FeatureId[_r_3_42_43_46], FeatureId[_r_4], FeatureId[_r_4_16], FeatureId[_r_4_18], FeatureId[_r_4_18_19], FeatureId[_r_4_18_20], FeatureId[_r_15]];15;2;72;524216
Basic Text Editor;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_13], FeatureId[_r_1_14], FeatureId[_r_1_15], FeatureId[_r_1_16], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_4_5], FeatureId[_r_4_6], FeatureId[_r_4_7], FeatureId[_r_4_8], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_10_11], FeatureId[_r_10_12]];11;0;96;130976
mon model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3_4], FeatureId[_r_3_5], FeatureId[_r_6_7], FeatureId[_r_6_8], FeatureId[_r_10], FeatureId[_r_10_11], FeatureId[_r_10_12], FeatureId[_r_10_12_13], FeatureId[_r_10_12_14]];9;1;24;4072
Jogo de Engenharia de Software;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4_5], FeatureId[_r_4_6], FeatureId[_r_4_6_7_8], FeatureId[_r_4_6_7_10], FeatureId[_r_12], FeatureId[_r_13], FeatureId[_r_13_16], FeatureId[_r_13_16_17_18], FeatureId[_r_13_16_17_19], FeatureId[_r_13_16_17_20], FeatureId[_r_13_21], FeatureId[_r_13_22], FeatureId[_r_13_23], FeatureId[_r_13_24], FeatureId[_r_13_25], FeatureId[_r_13_26]];11;2;896;1047680
Linha de produtos - SimulES e PnP;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_5], FeatureId[_r_6], FeatureId[_r_7], FeatureId[_r_8], FeatureId[_r_8_14_15], FeatureId[_r_8_14_16], FeatureId[_r_9], FeatureId[_r_9_17_18], FeatureId[_r_9_17_19], FeatureId[_r_10], FeatureId[_r_10_11_12], FeatureId[_r_10_11_13]];9;2;144;16240
Simaldores de Engenharia de Software;[FeatureId[_r], FeatureId[_r_4], FeatureId[_r_4_17_18], FeatureId[_r_4_17_19], FeatureId[_r_20], FeatureId[_r_20_21_22], FeatureId[_r_20_21_23], FeatureId[_r_20_21_24], FeatureId[_r_25], FeatureId[_r_25_26_27], FeatureId[_r_25_26_28], FeatureId[_r_29], FeatureId[_r_29_32_33], FeatureId[_r_29_32_34], FeatureId[_r_35], FeatureId[_r_36]];9;0;96;65440
Car;[FeatureId[_r], FeatureId[_r_3], FeatureId[_r_3_4_5], FeatureId[_r_3_4_6], FeatureId[_r_7], FeatureId[_r_7_9_10], FeatureId[_r_7_9_12], FeatureId[_r_7_13], FeatureId[_r_14_15], FeatureId[_r_14_16], FeatureId[_r_14_17], FeatureId[_r_19], FeatureId[_r_20]];9;0;42;8150
Car demo;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_5], FeatureId[_r_5_6_7], FeatureId[_r_5_6_8], FeatureId[_r_9], FeatureId[_r_10], FeatureId[_r_10_11], FeatureId[_r_10_12], FeatureId[_r_10_13], FeatureId[_r_10_14], FeatureId[_r_10_15]];9;0;48;16336
Agile Simules;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_3], FeatureId[_r_1_4], FeatureId[_r_1_5], FeatureId[_r_1_6], FeatureId[_r_1_7], FeatureId[_r_10], FeatureId[_r_10_11_12], FeatureId[_r_10_11_13], FeatureId[_r_14], FeatureId[_r_13], FeatureId[_r_13_14_15], FeatureId[_r_13_14_16]];11;1;24;32744
Homepage based on wiki;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_14], FeatureId[_r_1_3], FeatureId[_r_1_3_5_6], FeatureId[_r_1_3_5_7], FeatureId[_r_1_3_11_12], FeatureId[_r_1_3_11_13], FeatureId[_r_1_3_15], FeatureId[_r_16], FeatureId[_r_16_17], FeatureId[_r_16_18]];9;0;28;8164
GuideAgent;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_5], FeatureId[_r_1_6], FeatureId[_r_1_7], FeatureId[_r_1_8], FeatureId[_r_2], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_2_11], FeatureId[_r_3], FeatureId[_r_3_12_13], FeatureId[_r_3_12_14], FeatureId[_r_3_12_15], FeatureId[_r_4], FeatureId[_r_4_16_17], FeatureId[_r_4_16_18]];14;3;11;131061
Test;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_4_5], FeatureId[_r_2_4_6], FeatureId[_r_3], FeatureId[_r_3_14_15], FeatureId[_r_3_14_16], FeatureId[_r_7], FeatureId[_r_7_8_9], FeatureId[_r_7_8_10]];8;2;7;2041
ordem;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_3], FeatureId[_r_13], FeatureId[_r_13_14], FeatureId[_r_13_14_15], FeatureId[_r_13_14_15_16], FeatureId[_r_13_14_15_16_17], FeatureId[_r_13_14_15_16_17_18], FeatureId[__r_12]];8;0;56;1992
desordem;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_1_2_3], FeatureId[_r_12], FeatureId[_r_13], FeatureId[_r_13_14], FeatureId[_r_13_14_15], FeatureId[_r_13_14_15_16], FeatureId[_r_13_14_15_16_17], FeatureId[_r_13_14_15_16_17_18]];8;0;56;1992
Test Env;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3_4], FeatureId[_r_1_3_4_7_8], FeatureId[_r_1_3_4_7_9], FeatureId[_r_1_3_4_7_10], FeatureId[_r_1_3_4_7_11], FeatureId[_r_1_3_5], FeatureId[_r_1_3_5_12_13], FeatureId[_r_1_3_5_12_14], FeatureId[_r_1_3_5_12_15], FeatureId[_r_1_3_6], FeatureId[_r_1_3_6_16_17], FeatureId[_r_1_3_6_16_18], FeatureId[_r_1_3_6_16_19], FeatureId[_r_2], FeatureId[_r_2_20_21], FeatureId[_r_2_20_22], FeatureId[_r_2_20_23]];11;0;30;524258
UPL;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3], FeatureId[_r_1_4], FeatureId[_r_1_9], FeatureId[_r_1_9_10_11], FeatureId[_r_1_9_10_11_13_14], FeatureId[_r_1_9_10_11_13_15], FeatureId[_r_1_9_10_11_13_17], FeatureId[_r_1_9_10_12], FeatureId[_r_2]];8;0;18;2030
Mauricio Alférez;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4], FeatureId[_r_1_5], FeatureId[_r_2], FeatureId[_r_2_6], FeatureId[_r_2_7], FeatureId[_r_2_7_8], FeatureId[_r_3], FeatureId[_r_3_9], FeatureId[_r_3_10]];8;1;10;2038
Toyota Feature Model;[FeatureId[_r], FeatureId[_r_1_2], FeatureId[_r_1_2_17_18], FeatureId[_r_1_2_17_19], FeatureId[_r_1_2_17_20], FeatureId[_r_1_2_17_21], FeatureId[_r_1_5], FeatureId[_r_1_5_10_11], FeatureId[_r_1_5_10_12], FeatureId[_r_1_6], FeatureId[_r_1_6_13_14], FeatureId[_r_1_6_13_15], FeatureId[_r_1_6_13_16]];8;1;16;8176
Simple Drawing Tools;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3_4], FeatureId[_r_1_3_9], FeatureId[_r_1_3_11], FeatureId[_r_1_3_12], FeatureId[_r_1_3_13], FeatureId[_r_1_3_14], FeatureId[_r_1_3_16], FeatureId[_r_2], FeatureId[_r_2_17_18], FeatureId[_r_2_17_19], FeatureId[_r_2_17_20], FeatureId[_r_2_17_21]];5;0;1905;14479
a;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2], FeatureId[_r_3_4], FeatureId[_r_3_5], FeatureId[_r_3_6], FeatureId[_r_7_8], FeatureId[_r_7_9], FeatureId[_r_7_9_10], FeatureId[_r_7_9_10_12_13], FeatureId[_r_7_9_10_12_13_14], FeatureId[_r_7_9_11]];9;0;42;4054
Mobile Media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2_3], FeatureId[_r_2_4], FeatureId[_r_2_5], FeatureId[_r_6], FeatureId[_r_6_7], FeatureId[_r_6_7_8], FeatureId[_r_6_7_9], FeatureId[_r_6_10], FeatureId[_r_6_11], FeatureId[_r_6_11_12], FeatureId[_r_6_11_13], FeatureId[_r_14], FeatureId[_r_14_15_16], FeatureId[_r_14_15_17], FeatureId[_r_14_15_20]];12;1;126;130946
Disciplina;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_7], FeatureId[_r_7_10_11], FeatureId[_r_7_10_12], FeatureId[_r_14], FeatureId[_r_14_15_16], FeatureId[_r_14_15_17], FeatureId[_r_18], FeatureId[_r_18_19_20], FeatureId[_r_18_19_21], FeatureId[_r_22], FeatureId[_r_23], FeatureId[_r_24]];11;7;16;65520
NCV_Simulation;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3], FeatureId[_r_1_3_11], FeatureId[_r_1_3_11_14_15], FeatureId[_r_1_3_11_14_16], FeatureId[_r_1_5], FeatureId[_r_1_5_11], FeatureId[_r_2], FeatureId[_r_2_6], FeatureId[_r_2_8], FeatureId[_r_2_9], FeatureId[_r_2_10]];11;0;18;8174
isolation;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_2], FeatureId[_r_2_3], FeatureId[_r_2_3_8_9], FeatureId[_r_2_3_8_10], FeatureId[_r_2_4], FeatureId[_r_2_5], FeatureId[_r_2_6], FeatureId[_r_2_7]];9;0;3;1021
Loja Virtual;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_6], FeatureId[_r_1_7], FeatureId[_r_1_7_8_9], FeatureId[_r_1_7_8_12], FeatureId[_r_1_7_8_13], FeatureId[_r_2], FeatureId[_r_2_14_15], FeatureId[_r_2_14_16], FeatureId[_r_2_14_17]];6;2;56;1992
AllSports Feature Model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_6_7], FeatureId[_r_1_6_8], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_5], FeatureId[_r_5_11_12], FeatureId[_r_5_11_14], FeatureId[_r_5_11_15]];7;1;24;1000
Agencia de Propaganda;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_6], FeatureId[_r_6_7_8], FeatureId[_r_6_7_9], FeatureId[_r_6_7_10], FeatureId[_r_6_7_11], FeatureId[_r_12], FeatureId[_r_12_13], FeatureId[_r_12_13_14_15], FeatureId[_r_12_13_14_16], FeatureId[_r_12_17], FeatureId[_r_12_17_20_21], FeatureId[_r_12_17_20_22], FeatureId[_r_12_18], FeatureId[_r_12_19]];12;1;945;523343
i18n;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_8_9], FeatureId[_r_1_8_10], FeatureId[_r_2], FeatureId[_r_2_11_12], FeatureId[_r_2_11_13], FeatureId[_r_2_11_14], FeatureId[_r_15], FeatureId[_r_16], FeatureId[_r_16_17_18], FeatureId[_r_16_17_19], FeatureId[_r_16_17_20]];8;0;18;8174
MiniRPG;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3], FeatureId[_r_1_3_4], FeatureId[_r_1_3_8], FeatureId[_r_1_3_9], FeatureId[_r_1_10], FeatureId[_r_1_10_11], FeatureId[_r_1_10_12], FeatureId[_r_1_10_14], FeatureId[_r_2], FeatureId[_r_2_15], FeatureId[_r_2_15_16]];9;0;16;8176
MKT;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_3_5], FeatureId[_r_1_2_4], FeatureId[_r_1_6], FeatureId[_r_1_6_7_8], FeatureId[_r_1_6_7_9], FeatureId[_r_1_6_7_9_12_13], FeatureId[_r_1_6_7_9_12_14], FeatureId[_r_1_6_7_9_12_14_16_17], FeatureId[_r_1_6_7_9_12_14_16_18], FeatureId[_r_1_6_7_9_12_14_16_18_19], FeatureId[_r_1_6_7_9_12_15], FeatureId[_r_1_6_7_10], FeatureId[_r_1_6_11], FeatureId[_r_20], FeatureId[_r_20_21_22], FeatureId[_r_20_21_23], FeatureId[_r_20_21_24]];16;1;160;1048416
SmartHome- Simplified Sample;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4], FeatureId[_r_1_5], FeatureId[_r_2], FeatureId[_r_2_6], FeatureId[_r_2_7], FeatureId[_r_2_7_8], FeatureId[_r_9], FeatureId[_r_9_10], FeatureId[_r_9_11]];8;1;10;2038
Bicis_Feature_Model;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_8], FeatureId[_r_2], FeatureId[_r_2_9_10], FeatureId[_r_2_9_11], FeatureId[_r_3], FeatureId[_r_3_12_13], FeatureId[_r_3_12_14]];7;1;6;1018
MobileMedia;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_5_6], FeatureId[_r_1_5_7], FeatureId[_r_1_5_8], FeatureId[_r_2], FeatureId[_r_3], FeatureId[_r_4], FeatureId[_r_4_9], FeatureId[_r_4_10]];5;0;30;994
Mobile Media Bruno R;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_20_21], FeatureId[_r_1_20_22], FeatureId[_r_1_20_23], FeatureId[_r_2], FeatureId[_r_2_24], FeatureId[_r_2_24_27], FeatureId[_r_2_24_28], FeatureId[_r_2_25], FeatureId[_r_2_26], FeatureId[_r_2_26_29], FeatureId[_r_2_26_30], FeatureId[_r_3], FeatureId[_r_3_14_15], FeatureId[_r_3_14_18]];10;0;280;65256
Mobile Media Adriano Lages;[FeatureId[_r], FeatureId[_r_4], FeatureId[_r_4_7_8], FeatureId[_r_4_7_9], FeatureId[_r_4_7_10], FeatureId[_r_5], FeatureId[_r_5_11_12], FeatureId[_r_5_11_13], FeatureId[_r_5_11_22], FeatureId[_r_6], FeatureId[_r_6_15], FeatureId[_r_6_15_18], FeatureId[_r_6_15_19], FeatureId[_r_6_16], FeatureId[_r_6_17], FeatureId[_r_6_17_20], FeatureId[_r_6_17_21]];10;1;420;130652
MobileMedia_Marcelo;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_6], FeatureId[_r_6_8], FeatureId[_r_6_8_11], FeatureId[_r_6_8_12], FeatureId[_r_6_9], FeatureId[_r_6_10], FeatureId[_r_6_10_13], FeatureId[_r_6_10_14], FeatureId[_r_7], FeatureId[_r_7_15_16], FeatureId[_r_7_15_17]];11;0;140;65396
daniel souza;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_2_3], FeatureId[_r_1_2_4], FeatureId[_r_1_2_5], FeatureId[_r_6], FeatureId[_r_6_7], FeatureId[_r_6_7_8], FeatureId[_r_6_7_10], FeatureId[_r_6_11], FeatureId[_r_6_12], FeatureId[_r_6_12_13], FeatureId[_r_6_12_14], FeatureId[_r_15], FeatureId[_r_15_16_17], FeatureId[_r_15_16_18], FeatureId[_r_15_16_19]];10;0;420;130652
MobileMedia_BrunoAquino;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_3_4], FeatureId[_r_1_3_13], FeatureId[_r_1_3_14], FeatureId[_r_2], FeatureId[_r_2_15_16], FeatureId[_r_2_15_17], FeatureId[_r_2_15_18], FeatureId[_r_11], FeatureId[_r_11_19], FeatureId[_r_11_19_22], FeatureId[_r_11_19_23], FeatureId[_r_11_20], FeatureId[_r_11_21], FeatureId[_r_11_21_24], FeatureId[_r_11_21_25]];10;0;420;130652
MobileMedia_Gustavo;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_2_8_12], FeatureId[_r_2_8_13], FeatureId[_r_2_9], FeatureId[_r_2_10], FeatureId[_r_2_10_14], FeatureId[_r_2_10_15], FeatureId[_r_3], FeatureId[_r_3_16_17], FeatureId[_r_3_16_18], FeatureId[__r_3_16_17]];10;0;420;130652
Mobile Media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_26_27], FeatureId[_r_1_26_28], FeatureId[_r_1_26_29], FeatureId[_r_6], FeatureId[_r_6_7], FeatureId[_r_6_7_12], FeatureId[_r_6_7_13], FeatureId[_r_6_11], FeatureId[_r_6_11_14], FeatureId[_r_6_11_15], FeatureId[_r_6_30], FeatureId[_r_17], FeatureId[_r_17_18_19], FeatureId[_r_17_18_24]];11;0;140;65396
MobileMedia_VitorSales;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_2], FeatureId[_r_2_12], FeatureId[_r_2_12_15], FeatureId[_r_2_12_16], FeatureId[_r_2_13], FeatureId[_r_2_14], FeatureId[_r_2_14_17], FeatureId[_r_2_14_18], FeatureId[_r_3], FeatureId[_r_3_8_9], FeatureId[_r_3_8_10]];11;0;140;65396
Mobile Media;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_2], FeatureId[_r_2_8], FeatureId[_r_2_8_19], FeatureId[_r_2_8_20], FeatureId[_r_2_9], FeatureId[_r_2_16], FeatureId[_r_2_16_17], FeatureId[_r_2_16_18], FeatureId[_r_3], FeatureId[_r_3_11_12], FeatureId[_r_3_11_13]];11;0;140;65396
mobile_media_thom;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_3], FeatureId[_r_3_8], FeatureId[_r_3_8_13], FeatureId[_r_3_8_14], FeatureId[_r_3_9], FeatureId[_r_3_10], FeatureId[_r_3_10_11], FeatureId[_r_3_10_12], FeatureId[_r_15], FeatureId[_r_15_16_17], FeatureId[_r_15_16_20]];11;0;140;65396
MobileMedia_BrunoMartins;[FeatureId[_r], FeatureId[_r_1], FeatureId[_r_1_4_5], FeatureId[_r_1_4_6], FeatureId[_r_1_4_7], FeatureId[_r_2], FeatureId[_r_2_10], FeatureId[_r_2_10_13], FeatureId[_r_2_10_16], FeatureId[_r_2_11], FeatureId[_r_2_12], FeatureId[_r_2_12_17], FeatureId[_r_2_12_18], FeatureId[_r_3], FeatureId[_r_3_19_20], FeatureId[_r_3_19_23]];11;1;140;65396
